url_tail,timeFrom,timeTo
/deal/26694909,19:00,00:00
/deal/26694909,00:00,06:00
/deal/26694394,19:00,00:00
/deal/26694394,00:00,06:00
/deal/26693472,19:00,00:00
/deal/26693472,00:00,06:00
/deal/26602077,13:00,19:00
/deal/26602077,19:00,00:00
/deal/26602077,00:00,06:00
/deal/26694190,19:00,00:00
/deal/26694190,00:00,06:00
/deal/26601913,13:00,19:00
/deal/26601913,19:00,00:00
/deal/26601913,00:00,06:00
/deal/26916990,11:00,14:00
/deal/26916990,17:00,20:00
/deal/26916630,10:30,20:00
/deal/23425249,23:30,09:00
/deal/23425249,09:00,18:00
/deal/24710208,11:00,19:00
/deal/24710208,19:00,00:00
/deal/24710208,23:00,07:00
/deal/24710208,00:00,07:00
/deal/24193691,18:30,02:00
/deal/22788779,11:00,19:00
/deal/22788779,19:00,23:00
/deal/22788779,23:00,06:00
/deal/12261175,11:00,17:00
/deal/12261175,17:00,23:00
/deal/12261175,23:00,06:00
/deal/23376766,13:00,19:00
/deal/23376766,19:00,00:00
/deal/23376766,00:00,06:00
/deal/24798860,11:00,19:00
/deal/24798860,19:00,00:00
/deal/24798860,23:00,07:00
/deal/24798860,00:00,07:00
/deal/14765635,13:00,19:00
/deal/14765635,17:00,23:00
/deal/14765635,23:00,05:30
/deal/21176388,17:00,20:30
/deal/14772745,12:00,20:00
/deal/14772745,20:00,02:00
/deal/25420065,01:00,09:00
/deal/20685704,23:30,09:00
/deal/22646638,12:00,19:00
/deal/22646638,23:00,06:00
/deal/22646638,00:00,06:00
/deal/22072482,10:00,18:00
/deal/22072482,17:00,24:00
/deal/22072482,23:00,06:00
/deal/12784412,14:00,20:00
/deal/12784412,20:00,06:00
/deal/21574524,11:30,16:00
/deal/21574524,17:00,21:00
/deal/9870131,12:30,17:00
/deal/22013162,13:00,02:00
/deal/14781345,18:00,06:00
/deal/14783903,19:00,05:30
/deal/2196865,No timeFrom,No timeTo
/deal/12078615,12:00,18:00
/deal/22803407,11:00,15:00
/deal/22803407,18:00,00:00
/deal/22803407,23:00,06:00
/deal/23425263,00:00,09:00
/deal/23425263,09:00,18:00
/deal/23724094,12:00,19:00
/deal/23724094,19:00,06:00
/deal/23724094,23:00,06:00
/deal/5244124,09:00,20:00
/deal/5244124,20:00,24:00
/deal/5244124,23:00,06:00
/deal/21862867,19:00,06:00
/deal/9941132,No timeFrom,No timeTo
/deal/21862790,19:00,06:00
/deal/18068810,19:00,02:00
/deal/14783123,12:00,18:00
/deal/14783123,01:00,07:00
/deal/20113200,17:00,23:00
/deal/23040585,18:00,05:00
/deal/20112879,17:00,23:00
/deal/24249368,10:00,18:00
/deal/24249368,17:00,00:00
/deal/24249368,23:00,06:00
/deal/20113037,17:00,23:00
/deal/14783665,18:00,05:30
/deal/24185093,10:00,18:00
/deal/24185093,18:00,23:00
/deal/24185093,23:00,06:00
/deal/20112433,17:00,23:00
/deal/23681363,13:00,19:00
/deal/20339613,18:00,04:00
/deal/21574668,11:30,16:00
/deal/21574668,17:00,21:00
/deal/23126436,No timeFrom,No timeTo
/deal/19754264,19:00,02:00
/deal/24187982,10:00,19:00
/deal/23179481,13:00,19:00
/deal/6073412,No timeFrom,No timeTo
/deal/22073002,10:00,18:00
/deal/22073002,17:00,00:00
/deal/22073002,23:00,06:00
/deal/20513199,13:00,18:00
/deal/21574932,11:30,16:00
/deal/21574932,17:00,21:00
/deal/25248812,10:00,19:00
/deal/25248812,17:00,00:00
/deal/25248812,23:00,06:00
/deal/6198980,13:00,18:00
/deal/21672591,18:00,06:00
/deal/22548006,18:00,00:00
/deal/21862967,19:00,06:00
/deal/12078825,12:00,18:00
/deal/20927188,19:00,05:30
/deal/20339680,18:00,04:00
/deal/23681352,13:00,19:00
/deal/13463626,13:00,18:00
/deal/8447133,23:00,06:00
/deal/20339728,18:00,04:00
/deal/23854968,12:00,06:00
/deal/23040186,13:00,18:00
/deal/8250462,No timeFrom,No timeTo
/deal/14783796,19:00,05:30
/deal/12078882,12:00,18:00
/deal/6073420,No timeFrom,No timeTo
/deal/12078937,12:00,18:00
/deal/23822169,No timeFrom,No timeTo
/deal/14671850,12:30,17:00
/deal/12078983,12:00,18:00
/deal/14670457,12:30,17:00
/deal/25248866,10:00,19:00
/deal/25248866,17:00,00:00
/deal/25248866,23:00,06:00
/deal/23455081,18:00,00:00
/deal/23455057,18:00,00:00
/deal/23454993,18:00,00:00
/deal/23455100,18:00,00:00
/deal/25755174,19:00,06:00
/deal/26330144,10:00,07:00
/deal/27181507,10:00,17:00
/deal/27181507,17:00,00:00
/deal/27181507,23:30,06:00
/deal/26692858,19:00,00:00
/deal/26692858,00:00,06:00
/deal/26693222,19:00,00:00
/deal/26693222,00:00,06:00
/deal/26694498,19:00,00:00
/deal/26694498,00:00,06:00
/deal/26694692,19:00,00:00
/deal/26694692,00:00,06:00
/deal/26694778,19:00,00:00
/deal/26694778,00:00,06:00
/deal/26694909,19:00,00:00
/deal/26694909,00:00,06:00
/deal/26694394,19:00,00:00
/deal/26694394,00:00,06:00
/deal/26693472,19:00,00:00
/deal/26693472,00:00,06:00
/deal/26602077,13:00,19:00
/deal/26602077,19:00,00:00
/deal/26602077,00:00,06:00
/deal/26694190,19:00,00:00
/deal/26694190,00:00,06:00
/deal/26601913,13:00,19:00
/deal/26601913,19:00,00:00
/deal/26601913,00:00,06:00
/deal/26690322,19:00,00:00
/deal/26690322,00:00,06:00
/deal/26691299,19:00,00:00
/deal/26691299,00:00,06:00
/deal/26692611,19:00,00:00
/deal/26692611,00:00,06:00
/deal/26690903,19:00,00:00
/deal/26690903,00:00,06:00
/deal/26692455,19:00,00:00
/deal/26692455,00:00,06:00
/deal/26591632,13:00,19:00
/deal/26591632,19:00,00:00
/deal/26591632,00:00,06:00
/deal/26691389,19:00,00:00
/deal/26691389,00:00,06:00
/deal/27287696,11:00,17:00
/deal/27287696,17:00,20:00
/deal/27287696,20:00,00:00
/deal/27287696,00:00,06:00
/deal/25966314,11:00,06:00
/deal/26869886,10:00,19:00
/deal/26869886,17:00,02:00
/deal/26869886,23:00,06:00
/deal/26330144,10:00,07:00
/deal/27284923,17:00,23:00
/deal/27181042,12:00,18:00
/deal/27182109,12:00,18:00
/deal/27284955,17:00,23:00
/deal/27061200,10:00,18:00
/deal/27061200,18:00,00:00
/deal/27061200,23:00,06:00
/deal/26693641,19:00,00:00
/deal/26693641,00:00,06:00
/deal/26694095,19:00,00:00
/deal/26694095,00:00,06:00
/deal/26693288,19:00,00:00
/deal/26693288,00:00,06:00
/deal/26950154,10:00,17:00
/deal/26950154,17:00,02:00
/deal/26950154,23:00,07:00
/deal/23127880,11:00,19:00
/deal/23127880,19:00,02:00
/deal/23127880,23:00,06:00
/deal/24521011,11:00,15:00
/deal/24521011,17:00,21:00
/deal/11407194,12:00,18:00
/deal/11407194,18:00,02:00
/deal/11407194,23:00,06:00
/deal/21613854,11:00,13:00
/deal/22779157,13:00,18:00
/deal/23350625,17:00,20:00
/deal/24643378,11:00,15:00
/deal/24643378,17:00,21:00
/deal/22974187,No timeFrom,No timeTo
/deal/22198206,10:00,19:00
/deal/23918503,11:00,18:00
/deal/23918503,18:00,00:00
/deal/22779758,13:00,18:00
/deal/20113200,17:00,23:00
/deal/20112879,17:00,23:00
/deal/20113037,17:00,23:00
/deal/19443604,10:00,19:00
/deal/20112433,17:00,23:00
/deal/20335468,12:00,18:00
/deal/20335468,18:00,03:00
/deal/24789810,18:00,02:00
/deal/25762115,13:00,18:00
/deal/22198377,10:00,19:00
/deal/23458086,13:00,18:00
/deal/23458194,13:00,18:00
/deal/25762937,13:00,18:00
